student_id,observed_success,pp_mean,pp_q025,pp_q975,inside_95_interval
683,0.42857142857142855,0.4393392857142898,0.0,0.8571428571428571,True
684,0.42857142857142855,0.45055357142857383,0.0,0.8571428571428571,True
69,0.5,0.4626875,0.0,1.0,True
690,0.14285714285714285,0.2705357142857036,0.0,0.7142857142857143,True
691,0.5,0.501875,0.0,1.0,True
692,0.6,0.5618000000000077,0.0,1.0,True
693,0.5714285714285714,0.5304999999999981,0.14285714285714285,1.0,True
695,0.5714285714285714,0.5389285714285673,0.14285714285714285,1.0,True
697,1.0,0.7517750000000402,0.2,1.0,True
699,0.5,0.4889375,0.0,1.0,True
700,0.7142857142857143,0.6291964285714173,0.14285714285714285,1.0,True
704,1.0,0.57625,0.0,1.0,True
71,0.5909090909090909,0.551664772727266,0.2727272727272727,0.8181818181818182,True
712,0.16666666666666666,0.2993333333333334,0.0,0.8333333333333334,True
713,0.5,0.4915625,0.0,1.0,True
714,0.0,0.363875,0.0,1.0,True
717,0.6666666666666666,0.6013749999999963,0.0,1.0,True
719,0.0,0.31675,0.0,1.0,True
72,0.08333333333333333,0.13422222222222302,0.027777777777777776,0.3055555555555556,True
720,0.8571428571428571,0.7079464285714072,0.2857142857142857,1.0,True
722,1.0,0.566375,0.0,1.0,True
723,0.5,0.4999375,0.0,1.0,True
725,0.0,0.20458928571427534,0.0,0.5714285714285714,True
726,1.0,0.587625,0.0,1.0,True
731,0.6666666666666666,0.5908958333333355,0.16666666666666666,1.0,True
741,0.14285714285714285,0.2718392857142758,0.0,0.7142857142857143,True
750,0.25,0.333375,0.0,0.75,True
751,0.0,0.2025625,0.0,1.0,True
